Rok,STAN I OCHRONA ŚRODOWISKA/TERENY ZIELENI/Rodzinne ogrody działkowe/ogrody liczba,STAN I OCHRONA ŚRODOWISKA/TERENY ZIELENI/Rodzinne ogrody działkowe/ogrody powierzchnia,STAN I OCHRONA ŚRODOWISKA/TERENY ZIELENI/Rodzinne ogrody działkowe/działki liczba,STAN I OCHRONA ŚRODOWISKA/TERENY ZIELENI/Rodzinne ogrody działkowe/działki powierzchnia,STAN I OCHRONA ŚRODOWISKA/TERENY ZIELENI/Tereny zieleni/parki spacerowo - wypoczynkowe powierzchnia ogółem (w miastach i na wsi)
2004,10.0,43.5,55.4,87.0,0.5
2005,10.0,45.7,56.0,90.0,0.5
2006,10.0,49.4,56.0,84.0,0.5
2007,10.0,49.4,56.0,84.0,0.5
2008,10.0,49.4,56.0,84.0,0.5
2009,10.0,49.4,56.0,84.0,0.5
2010,10.0,49.4,56.0,84.0,0.5
2011,10.0,49.4,56.0,84.0,0.5
2012,10.0,49.4,56.0,84.0,0.5
2013,10.0,49.4,56.0,84.0,0.5
2014,10.0,49.4,61.22,84.0,0.5
2015,15.15,53.48,61.22,93.0,0.6
2016,15.15,53.48,61.22,93.0,0.6
2017,15.15,53.48,61.22,93.0,0.6
2018,15.15,53.48,61.22,94.0,0.6
