Rok,STAN I OCHRONA ŚRODOWISKA/TERENY ZIELENI/Rodzinne ogrody działkowe/ogrody liczba,STAN I OCHRONA ŚRODOWISKA/TERENY ZIELENI/Rodzinne ogrody działkowe/ogrody powierzchnia,STAN I OCHRONA ŚRODOWISKA/TERENY ZIELENI/Rodzinne ogrody działkowe/działki liczba
2004,2.1,2.0,0.1
2005,4.3,5.0,0.1
2006,4.3,5.0,0.1
2007,4.3,5.0,0.1
2008,4.3,5.0,0.1
2009,4.3,5.0,0.1
2010,4.3,5.0,0.1
2011,4.3,5.0,0.1
2012,4.3,5.0,0.1
2013,4.3,5.0,0.1
2014,4.3,5.0,0.1
2015,4.3,5.0,0.1
2016,4.3,5.0,0.1
2017,4.3,5.0,0.1
2018,4.3,5.0,0.1
