Rok,STAN I OCHRONA ŚRODOWISKA/TERENY ZIELENI/Rodzinne ogrody działkowe/ogrody liczba,STAN I OCHRONA ŚRODOWISKA/TERENY ZIELENI/Rodzinne ogrody działkowe/ogrody powierzchnia,STAN I OCHRONA ŚRODOWISKA/TERENY ZIELENI/Rodzinne ogrody działkowe/działki liczba
2004,0.4,4.6,2.0
2005,0.4,5.2,2.0
2006,0.4,5.2,2.0
2007,0.4,5.2,2.0
2008,0.4,5.2,2.0
2009,0.4,5.2,2.0
2010,0.4,5.2,2.0
2011,0.4,5.2,2.0
2012,0.4,5.2,2.0
2013,0.4,5.2,2.0
2014,0.4,8.5,2.0
2015,0.4,8.5,2.0
2016,0.4,8.5,2.0
2017,0.4,8.5,2.0
2018,0.4,8.5,2.0
