Rok,TERENY ZIELENI/Rodzinne ogrody działkowe/ogrody liczba,TERENY ZIELENI/Rodzinne ogrody działkowe/ogrody powierzchnia,TERENY ZIELENI/Rodzinne ogrody działkowe/działki liczba,TERENY ZIELENI/Rodzinne ogrody działkowe/działki powierzchnia,TERENY ZIELENI/Tereny zieleni wg lokalizacji w powiatach/parki spacerowo - wypoczynkowe powierzchnia w miastach,TERENY ZIELENI/Tereny zieleni wg lokalizacji w powiatach/zieleńce powierzchnia w miastach,TERENY ZIELENI/Tereny zieleni wg lokalizacji w powiatach/zieleń uliczna powierzchnia w miastach,TERENY ZIELENI/Tereny zieleni wg lokalizacji w powiatach/tereny zieleni osiedlowej powierzchnia w miastach,"TERENY ZIELENI/Tereny zieleni wg lokalizacji w powiatach/parki, zieleńce i tereny zieleni osiedlowej powierzchnia w miastach",TERENY ZIELENI/Tereny zieleni wg lokalizacji w powiatach/cmentarze powierzchnia w miastach
2004,62.4,7.0,135.0,176.1,245.5,,102.5,8.0,8.0,
2005,62.4,7.0,135.0,304.7,374.1,43.6,102.5,8.0,8.0,12.0
2006,62.4,7.0,140.0,304.7,374.1,43.6,102.5,8.0,8.0,12.0
2007,62.4,7.0,140.0,254.0,323.4,43.6,102.5,8.0,8.0,12.0
2008,62.4,7.0,140.0,254.0,323.4,43.6,84.0,8.0,8.0,12.0
2009,62.4,9.6,140.0,246.7,318.7,43.6,84.0,8.0,8.0,12.0
2010,62.4,9.6,140.0,246.7,318.7,43.6,82.0,8.0,8.0,12.0
2011,62.4,9.6,140.0,263.0,335.0,43.6,79.0,8.0,8.0,12.0
2012,67.3,9.6,140.0,263.0,339.9,43.6,79.0,8.0,8.0,12.0
2013,72.95,5.98,140.0,251.74,330.67,43.6,79.0,9.0,7.0,12.0
2014,72.95,4.58,140.0,251.74,329.27,43.6,80.55,9.0,6.0,12.0
2015,72.95,4.58,140.0,258.15,335.68,43.6,80.93,9.0,6.0,12.0
2016,72.85,5.58,140.0,246.9,325.33,47.53,80.93,9.0,6.0,12.0
2017,71.0,5.71,140.0,246.9,323.61,47.53,82.2,9.0,8.0,12.0
2018,69.14,5.47,140.0,246.69,321.3,47.75,80.19,8.0,7.0,12.0
