Rok,BUDOWNICTWO MIESZKANIOWE/Mieszkania oddane do użytkowania wg form budownictwa/ogółem mieszkania,BUDOWNICTWO MIESZKANIOWE/Mieszkania oddane do użytkowania wg form budownictwa/ogółem izby,BUDOWNICTWO MIESZKANIOWE/Mieszkania oddane do użytkowania wg form budownictwa/ogółem powierzchnia użytkowa,BUDOWNICTWO MIESZKANIOWE/Mieszkania oddane do użytkowania wg form budownictwa/spółdzielcze mieszkania,BUDOWNICTWO MIESZKANIOWE/Mieszkania oddane do użytkowania wg form budownictwa/spółdzielcze izby,BUDOWNICTWO MIESZKANIOWE/Mieszkania oddane do użytkowania wg form budownictwa/spółdzielcze powierzchnia użytkowa,BUDOWNICTWO MIESZKANIOWE/Mieszkania oddane do użytkowania wg form budownictwa/zakładowe mieszkania,BUDOWNICTWO MIESZKANIOWE/Mieszkania oddane do użytkowania wg form budownictwa/zakładowe izby,BUDOWNICTWO MIESZKANIOWE/Mieszkania oddane do użytkowania wg form budownictwa/zakładowe powierzchnia użytkowa,BUDOWNICTWO MIESZKANIOWE/Mieszkania oddane do użytkowania wg form budownictwa/komunalne mieszkania
1995,789.0,2874.0,50914.0,661.0,2325.0,38525.0,,,,58.0
1996,696.0,2479.0,46159.0,589.0,1952.0,32776.0,,,,6.0
1997,642.0,2358.0,45253.0,528.0,1784.0,30050.0,,,,5.0
1998,601.0,2440.0,48673.0,509.0,1982.0,36296.0,,,,
1999,656.0,2522.0,53998.0,451.0,1586.0,29120.0,,,,45.0
2000,663.0,2680.0,56446.0,335.0,1340.0,26449.0,1.0,5.0,110.0,1.0
2001,732.0,2940.0,64958.0,339.0,1360.0,26562.0,1.0,5.0,114.0,44.0
2002,964.0,3899.0,93857.0,142.0,747.0,18806.0,,,,60.0
2003,722.0,3411.0,94687.0,178.0,947.0,25495.0,10.0,26.0,445.0,65.0
2004,503.0,2234.0,51851.0,36.0,256.0,8612.0,,,,1.0
2005,726.0,2421.0,50855.0,199.0,600.0,12356.0,4.0,12.0,161.0,8.0
2006,442.0,1736.0,40510.0,140.0,492.0,9566.0,,,,54.0
2007,578.0,2135.0,46092.0,132.0,429.0,8165.0,,,,
2008,768.0,2943.0,66349.0,5.0,27.0,432.0,,,,7.0
2009,626.0,2168.0,50793.0,150.0,493.0,10065.0,,,,54.0
2010,744.0,2452.0,55361.0,98.0,250.0,5429.0,,,,40.0
2011,876.0,3224.0,67954.0,139.0,512.0,9293.0,,,,17.0
2012,810.0,2680.0,60184.0,,,,,,,
2013,666.0,2210.0,51972.0,,,,,,,23.0
2014,1377.0,4167.0,81624.0,457.0,1240.0,23751.0,,,,23.0
2015,943.0,2803.0,58455.0,102.0,274.0,5792.0,3.0,13.0,265.0,28.0
2016,755.0,2500.0,53780.0,98.0,314.0,5285.0,,,,6.0
2017,609.0,2069.0,42479.0,36.0,102.0,1871.0,,,,7.0
